学籍番号,学生氏名,学生氏名(フリガナ),学生氏名(英字),性別,所属コード,所属名称,学年,セメスタ,在学区分コード,在学区分名称
1154360427,全　寅秀,ジョン　インス,JEON IN-SU,男性,12238,麗澤大学外国語学部外国語学科日本語・国際コミュニケーション専攻,4,7,30,在学
1184310731,福永　瑞紀,フクナガ　ミズキ,FUKUNAGA MIZUKI,女性,12231,麗澤大学外国語学部外国語学科英語コミュニケーション専攻,3,5,30,在学
1184310781,保科　仁絵,ホシナ　ヒトエ,HOSHINA HITOE,女性,12231,麗澤大学外国語学部外国語学科英語コミュニケーション専攻,3,5,30,在学
1184320243,大塚　悠真,オオツカ　ユウマ,OOTSUKA YUUMA,男性,12239,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,3,5,30,在学
1184320433,佐久間　佑尽,サクマ　ユウジン,SAKUMA YUUJIN,男性,12239,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,3,5,30,在学
1184320574,竹尾　淳希,タケオ　アツキ,TAKEO ATSUKI,男性,12239,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,3,5,30,在学
1184330432,野口　愛梨,ノグチ　アイリ,NOGUCHI AIRI,女性,12233,麗澤大学外国語学部外国語学科国際交流・国際協力専攻,3,5,30,在学
1194360677,李　ハヌル,イ　ハヌル,LEE HANEUL,女性,12238,麗澤大学外国語学部外国語学科日本語・国際コミュニケーション専攻,3,5,30,在学
1196836242,全　寅秀,ジョン　インス,JEON IN-SU,男性,12237.82143,麗澤大学外国語学部外国語学科日本語・国際コミュニケーション専攻,2.75,4.5,30,在学
1200171121,福永　瑞紀,フクナガ　ミズキ,FUKUNAGA MIZUKI,女性,12238.22619,麗澤大学外国語学部外国語学科英語コミュニケーション専攻,2.666666667,4.333333333,30,在学
1203506000,保科　仁絵,ホシナ　ヒトエ,HOSHINA HITOE,女性,12238.63095,麗澤大学外国語学部外国語学科英語コミュニケーション専攻,2.583333333,4.166666667,30,在学
1206840879,大塚　悠真,オオツカ　ユウマ,OOTSUKA YUUMA,男性,12239.03571,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,2.5,4,30,在学
1210175758,佐久間　佑尽,サクマ　ユウジン,SAKUMA YUUJIN,男性,12239.44048,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,2.416666667,3.833333333,30,在学
1213510636,竹尾　淳希,タケオ　アツキ,TAKEO ATSUKI,男性,12239.84524,麗澤大学外国語学部外国語学科英語・リベラルアーツ専攻,2.333333333,3.666666667,30,在学
1216845515,野口　愛梨,ノグチ　アイリ,NOGUCHI AIRI,女性,12240.25,麗澤大学外国語学部外国語学科国際交流・国際協力専攻,2.25,3.5,30,在学
